compartment_v2,X,S,L,K,E,P,V,M,J,C,Other
Core,0.10821256038647344,0.19227053140096617,0.05217391304347826,0.07101449275362319,0.08888888888888889,0.05507246376811594,0.018357487922705314,0.03961352657004831,0.07198067632850241,0.05217391304347826,0.25024154589371983
Shell,0.42489626556016596,0.11286307053941909,0.13692946058091288,0.05892116182572614,0.02987551867219917,0.04149377593360996,0.051452282157676346,0.02987551867219917,0.00995850622406639,0.02074688796680498,0.0829875518672199
Cloud,0.5476344782890473,0.11244329228775113,0.11762799740764744,0.04180168502916397,0.02559948152948801,0.02138690861957226,0.03823720025923526,0.023655217109526897,0.0064808813998703824,0.007128969539857421,0.05800388852883992
