compartment,bin_start,bin_end,count
Core,0.0,0.034482758620689655,0
Core,0.034482758620689655,0.06896551724137931,0
Core,0.06896551724137931,0.10344827586206896,0
Core,0.10344827586206896,0.13793103448275862,0
Core,0.13793103448275862,0.1724137931034483,0
Core,0.1724137931034483,0.20689655172413793,0
Core,0.20689655172413793,0.24137931034482757,0
Core,0.24137931034482757,0.27586206896551724,0
Core,0.27586206896551724,0.3103448275862069,0
Core,0.3103448275862069,0.3448275862068966,0
Core,0.3448275862068966,0.3793103448275862,0
Core,0.3793103448275862,0.41379310344827586,0
Core,0.41379310344827586,0.4482758620689655,0
Core,0.4482758620689655,0.48275862068965514,0
Core,0.48275862068965514,0.5172413793103449,0
Core,0.5172413793103449,0.5517241379310345,0
Core,0.5517241379310345,0.5862068965517241,0
Core,0.5862068965517241,0.6206896551724138,0
Core,0.6206896551724138,0.6551724137931034,0
Core,0.6551724137931034,0.6896551724137931,0
Core,0.6896551724137931,0.7241379310344828,0
Core,0.7241379310344828,0.7586206896551724,0
Core,0.7586206896551724,0.7931034482758621,0
Core,0.7931034482758621,0.8275862068965517,0
Core,0.8275862068965517,0.8620689655172413,0
Core,0.8620689655172413,0.896551724137931,0
Core,0.896551724137931,0.9310344827586207,0
Core,0.9310344827586207,0.9655172413793103,0
Core,0.9655172413793103,1.0,1991
Soft-core,0.0,0.034482758620689655,0
Soft-core,0.034482758620689655,0.06896551724137931,0
Soft-core,0.06896551724137931,0.10344827586206896,0
Soft-core,0.10344827586206896,0.13793103448275862,0
Soft-core,0.13793103448275862,0.1724137931034483,0
Soft-core,0.1724137931034483,0.20689655172413793,0
Soft-core,0.20689655172413793,0.24137931034482757,0
Soft-core,0.24137931034482757,0.27586206896551724,0
Soft-core,0.27586206896551724,0.3103448275862069,0
Soft-core,0.3103448275862069,0.3448275862068966,0
Soft-core,0.3448275862068966,0.3793103448275862,0
Soft-core,0.3793103448275862,0.41379310344827586,0
Soft-core,0.41379310344827586,0.4482758620689655,0
Soft-core,0.4482758620689655,0.48275862068965514,0
Soft-core,0.48275862068965514,0.5172413793103449,0
Soft-core,0.5172413793103449,0.5517241379310345,0
Soft-core,0.5517241379310345,0.5862068965517241,0
Soft-core,0.5862068965517241,0.6206896551724138,0
Soft-core,0.6206896551724138,0.6551724137931034,0
Soft-core,0.6551724137931034,0.6896551724137931,0
Soft-core,0.6896551724137931,0.7241379310344828,0
Soft-core,0.7241379310344828,0.7586206896551724,0
Soft-core,0.7586206896551724,0.7931034482758621,0
Soft-core,0.7931034482758621,0.8275862068965517,0
Soft-core,0.8275862068965517,0.8620689655172413,0
Soft-core,0.8620689655172413,0.896551724137931,0
Soft-core,0.896551724137931,0.9310344827586207,0
Soft-core,0.9310344827586207,0.9655172413793103,24
Soft-core,0.9655172413793103,1.0,55
Shell,0.0,0.034482758620689655,0
Shell,0.034482758620689655,0.06896551724137931,0
Shell,0.06896551724137931,0.10344827586206896,0
Shell,0.10344827586206896,0.13793103448275862,0
Shell,0.13793103448275862,0.1724137931034483,136
Shell,0.1724137931034483,0.20689655172413793,110
Shell,0.20689655172413793,0.24137931034482757,93
Shell,0.24137931034482757,0.27586206896551724,144
Shell,0.27586206896551724,0.3103448275862069,95
Shell,0.3103448275862069,0.3448275862068966,68
Shell,0.3448275862068966,0.3793103448275862,56
Shell,0.3793103448275862,0.41379310344827586,62
Shell,0.41379310344827586,0.4482758620689655,78
Shell,0.4482758620689655,0.48275862068965514,27
Shell,0.48275862068965514,0.5172413793103449,29
Shell,0.5172413793103449,0.5517241379310345,25
Shell,0.5517241379310345,0.5862068965517241,38
Shell,0.5862068965517241,0.6206896551724138,42
Shell,0.6206896551724138,0.6551724137931034,19
Shell,0.6551724137931034,0.6896551724137931,20
Shell,0.6896551724137931,0.7241379310344828,22
Shell,0.7241379310344828,0.7586206896551724,32
Shell,0.7586206896551724,0.7931034482758621,12
Shell,0.7931034482758621,0.8275862068965517,17
Shell,0.8275862068965517,0.8620689655172413,15
Shell,0.8620689655172413,0.896551724137931,24
Shell,0.896551724137931,0.9310344827586207,16
Shell,0.9310344827586207,0.9655172413793103,25
Shell,0.9655172413793103,1.0,0
Cloud,0.0,0.034482758620689655,2218
Cloud,0.034482758620689655,0.06896551724137931,350
Cloud,0.06896551724137931,0.10344827586206896,276
Cloud,0.10344827586206896,0.13793103448275862,165
Cloud,0.13793103448275862,0.1724137931034483,77
Cloud,0.1724137931034483,0.20689655172413793,0
Cloud,0.20689655172413793,0.24137931034482757,0
Cloud,0.24137931034482757,0.27586206896551724,0
Cloud,0.27586206896551724,0.3103448275862069,0
Cloud,0.3103448275862069,0.3448275862068966,0
Cloud,0.3448275862068966,0.3793103448275862,0
Cloud,0.3793103448275862,0.41379310344827586,0
Cloud,0.41379310344827586,0.4482758620689655,0
Cloud,0.4482758620689655,0.48275862068965514,0
Cloud,0.48275862068965514,0.5172413793103449,0
Cloud,0.5172413793103449,0.5517241379310345,0
