compartment,count,mean,std,min,25%,50%,75%,max
Cloud,3086.0,0.02977806650357607,0.03862156062782832,0.0011918951132300357,0.003575685339690107,0.009535160905840286,0.03694874851013111,0.14898688915375446
Core,1991.0,0.9995755632168356,0.0014169664574615486,0.9904648390941597,1.0,1.0,1.0,1.0
Shell,1205.0,0.39499107315070797,0.217320383311813,0.1501787842669845,0.2300357568533969,0.3265792610250298,0.5292014302741359,0.9487485101311085
Soft-core,79.0,0.9715152155217939,0.012884678831858466,0.9511323003575686,0.9582836710369488,0.9761620977353993,0.9833134684147795,0.9892729439809297
