gene_id,frequency,variance
entS,0.499404052443385,0.2499996448465098
group_725,0.5017878426698451,0.2499968036185879
group_148,0.4970202622169249,0.24999112116274413
group_1120,0.5029797377830751,0.2499911211627441
group_3353,0.4958283671036949,0.24998259747897844
btuD_5~~~btuD_6~~~btuD_9~~~btuD_7,0.49463647199046484,0.24997123256729095
group_1085,0.49463647199046484,0.24997123256729095
group_2464,0.5053635280095352,0.24997123256729092
degU~~~narL,0.5065554231227652,0.24995702642768153
group_980,0.4922526817640048,0.24993997906015025
group_1137,0.4922526817640048,0.24993997906015025
phoU1,0.5077473182359953,0.24993997906015022
nirC_1~~~nirC_2,0.5089392133492253,0.24992009046469704
group_2336,0.5089392133492253,0.24992009046469704
group_1325,0.5089392133492253,0.24992009046469704
group_1381,0.5089392133492253,0.24992009046469704
group_1926,0.5089392133492253,0.24992009046469704
group_1928,0.4898688915375447,0.24989736064132198
group_3145,0.4898688915375447,0.24989736064132198
group_2229,0.4898688915375447,0.24989736064132198
group_1361,0.5101311084624554,0.24989736064132195
group_619,0.5113230035756854,0.249871789590025
group_2053,0.5113230035756854,0.249871789590025
group_3334,0.48867699642431467,0.24987178959002498
group_759,0.48867699642431467,0.24987178959002498
group_2371,0.48867699642431467,0.24987178959002498
group_3131,0.48748510131108463,0.24984337731080622
group_1932,0.5125148986889154,0.2498433773108062
gmuR~~~yurK~~~gamR,0.4862932061978546,0.24981212380366544
group_1450,0.5184743742550656,0.24965869749588376
msrP~~~msrP_2~~~msrP_1,0.48152562574493446,0.24965869749588374
group_3084,0.4803337306317044,0.24961323784913367
group_2177,0.4803337306317044,0.24961323784913367
group_22,0.4803337306317044,0.24961323784913367
group_3314,0.5196662693682956,0.24961323784913364
group_2634,0.5208581644815257,0.2495649369744616
group_2483,0.4791418355184744,0.2495649369744616
group_2413,0.5232419547079857,0.24945981154135194
group_16,0.4767580452920143,0.2494598115413519
group_3361,0.4755661501787843,0.2494029869829143
cinA_1,0.5244338498212158,0.24940298698291427
group_3240,0.5292014302741359,0.24914727646994478
group_1513,0.4696066746126341,0.2490762457718977
group_2322,0.531585220500596,0.24900237384592874
group_3232,0.531585220500596,0.24900237384592874
group_3290,0.531585220500596,0.24900237384592874
group_2058,0.531585220500596,0.24900237384592874
group_2363,0.466030989272944,0.2488461063102252
group_589,0.4636471990464839,0.24867847386283404
group_2490,0.5363528009535161,0.24867847386283404
group_2368,0.5363528009535161,0.24867847386283404
group_1692,0.5363528009535161,0.24867847386283404
group_1289,0.5363528009535161,0.24867847386283404
group_3369,0.4636471990464839,0.24867847386283404
group_2190,0.4636471990464839,0.24867847386283404
group_1066,0.4636471990464839,0.24867847386283404
group_3022,0.4636471990464839,0.24867847386283404
merR1,0.4636471990464839,0.24867847386283404
bin3,0.4612634088200238,0.2484994765037554
group_3298,0.4612634088200238,0.2484994765037554
group_3301,0.4600715137067938,0.24840571598233324
irtB_1,0.4600715137067938,0.24840571598233324
group_1204,0.4600715137067938,0.24840571598233324
group_622,0.45887961859356374,0.2483091142329892
group_742,0.45887961859356374,0.2483091142329892
group_1193,0.5423122765196663,0.2482096712557233
group_621,0.5423122765196663,0.2482096712557233
group_135,0.4576877234803337,0.2482096712557233
btuD_9~~~ytrE_3~~~btuD_8,0.5435041716328963,0.2481073870505355
group_141,0.45530393325387364,0.2480022616174258
group_3055,0.5446960667461264,0.2480022616174258
group_2412,0.5446960667461264,0.2480022616174258
group_1453,0.5446960667461264,0.2480022616174258
group_1378,0.4541120381406436,0.24789429495639426
group_874,0.45292014302741357,0.2477834870674408
pnp_1~~~pnp_2,0.5470798569725864,0.2477834870674408
dadA~~~dadA_2~~~dadA1~~~dadA1_1~~~dadA_1,0.5482717520858165,0.24766983795056546
group_1302,0.5482717520858165,0.24766983795056546
group_2753,0.5506555423122765,0.24743401603304915
group_802,0.5506555423122765,0.24743401603304915
group_3346,0.44934445768772346,0.24743401603304915
group_3069,0.5518474374255066,0.24731184323240818
group_3848,0.44815256257449343,0.24731184323240818
group_1313,0.5530393325387366,0.24718682920384533
group_2428,0.44576877234803336,0.24705897394736057
ytrB,0.5542312276519666,0.24705897394736057
group_2068,0.5542312276519666,0.24705897394736057
group_2751,0.5542312276519666,0.24705897394736057
mtnN,0.44576877234803336,0.24705897394736057
group_1550,0.44576877234803336,0.24705897394736057
xerC_4~~~xerC_3~~~xerC_7~~~xerC_1,0.44576877234803336,0.24705897394736057
group_1949,0.5554231227651967,0.24692827746295393
group_653,0.5554231227651967,0.24692827746295393
group_1668,0.5554231227651967,0.24692827746295393
group_1948,0.5554231227651967,0.24692827746295393
group_2383,0.5566150178784267,0.24679473975062544
group_243,0.4433849821215733,0.24679473975062544
group_3320,0.4433849821215733,0.24679473975062544
group_122,0.4433849821215733,0.24679473975062544
group_2885,0.4433849821215733,0.24679473975062544
group_2616,0.5578069129916567,0.24665836081037504
tetM~~~tetW~~~tetO~~~tetW_1,0.44219308700834326,0.24665836081037504
group_1463,0.44219308700834326,0.24665836081037504
group_2996,0.5589988081048868,0.24651914064220273
group_2422,0.4398092967818832,0.24637707924610858
group_2524,0.43861740166865315,0.24623217662209254
group_3347,0.43861740166865315,0.24623217662209254
group_3309,0.4374255065554231,0.2460844327701546
group_1367,0.5625744934445769,0.2460844327701546
nfdA,0.4374255065554231,0.2460844327701546
group_1683,0.4374255065554231,0.2460844327701546
group_2399,0.4362336114421931,0.2459338476902948
group_3020,0.5637663885578069,0.2459338476902948
group_3023,0.5637663885578069,0.2459338476902948
group_3025,0.5637663885578069,0.2459338476902948
